people (it),nation (en)
afghani,Afghanistan
albanesi,Albania
algerini,Algeria
americo-verginiani,the United States Virgin Islands
andorrani,Andorra
angolani,Angola
anguillani,Anguilla
antiguo-barbudani,Antigua and Barbuda
antillani olandesi,the Netherlands Antilles
argentini,Argentina
armeni,Armenia
australiani,Australia
austriaci,Austria
azeri,Azerbaijan
bahamensi,the Bahamas
bahreiniti,Bahrain
belgi,Belgium
beliziani,Belize
beninesi,Benin
bhutanesi,Bhutan
bielorussi,Belarus
birmani,Myanmar
boemi,Bohemia (inesistente)
boliviani,Bolivia
bosniaci,Bosnia and Herzegovina
botswani,Botswana
brasiliani,Brazil
britannici,the United Kingdom
bulgari,Bulgaria
burkinabè,Burkina Faso
burundesi,Burundi
cambogiani,Cambodia
camerunesi,Cameroon
canadesi,Canada
capoverdiani,Cape Verde
cechi,the Czech Republic
cecoslovacchi,Czechoslovakia
centrafricani,the Central African Republic
ciadiani,Chad
cileni,Chile
cinesi,China
ciprioti,Cyprus
colombiani,Colombia
comoriani,Comoros
congolesi (Rep. Dem. del Congo),the Democratic Republic of the Congo
congolesi (Repubblica del Congo),the Republic of the Congo
costaricani,Costa Rica
croati,Croatia
cubani,Cuba
danesi,Denmark
dominicani,the Dominican Republic
dominicensi,Dominica
ecuadoriani,Ecuador
egiziani,Egypt
emiratini,the United Arab Emirates
equatoguineani,Equatorial Guinea
eritrei,Eritrea
estoni,Estonia
est-timoresi,East Timor
etiopi,Ethiopia
faroesi,the Faroe Islands
figiani,Fiji
filippini,the Philippines
finlandesi,Finland
francesi,France
gabonesi,Gabon
gambiani,Gambia
georgiani,Georgia
ghanesi,Ghana
giamaicani,Jamaica
giapponesi,Japan
gibutiani,Djibouti
giordani,Jordan
greci,Greece
grenadini,Grenada
guatemaltechi,Guatemala
guineani,Guinea
guineensi,Guinea-Bissau
guyanesi,Guyana
haitiani,Haiti
honduregni,Honduras
hongkonghesi,Hong Kong
indiani,India
indonesiani,Indonesia
iracheni,Iraq
iraniani,Iran
irlandesi,Ireland
islandesi,Iceland
israeliani,Israel
italiani,Italy
ivoriani,Côte d'Ivoire
jugoslavi,Yugoslavia
kazaki,Kazakhstan
kenioti,Kenya
kirghisi,Kyrgyzstan
kuwaitiani,Kuwait
laotiani,Laos
lesothiani,Lesotho
lettoni,Latvia
libanesi,Lebanon
liberiani,Liberia
libici,Libya
liechtensteinesi,Liechtenstein
lituani,Lithuania
lussemburghesi,Luxembourg
macaensi,Macau
macedoni,the Republic of Macedonia
malawiani,Malawi
malesi,Malaysia
malgasci,Madagascar
maliani,Mali
maltesi,Malta
marocchini,Morocco
mauritani,Mauritania
mauriziani,Mauritius
messicani,Mexico
moldavi,Moldova
montenegrini,Montenegro
montserratiani,Montserrat
mozambicani,Mozambique
namibiani,Namibia
neozelandesi,New Zealand
nevisiani,Saint Kitts and Nevis
nigeriani,Nigeria
nigerini,Niger
nordcoreani,North Korea
norvegesi,Norway
olandesi,the Netherlands
omaniti,Oman
pakistani,Pakistan
palestinesi,Palestine
panamensi,Panama
papuani,Papua New Guinea
paraguaiani,Paraguay
peruviani,Peru
polacchi,Poland
portoghesi,Portugal
portoricani,Puerto Rico
qatarioti,Qatar
ruandesi,Rwanda
rumeni,Romania
russi,Russia
salomonesi,the Solomon Islands
salvadoregni,El Salvador
sammarinesi,San Marino
samoani americani,American Samoa
santaluciani,Saint Lucia
sanvincentini,Saint Vincent and the Grenadines
sauditi,Saudi Arabia
senegalesi,Senegal
serbi,Serbia
seychellesi,Seychelles
sierraleonesi,Sierra Leone
singaporiani,Singapore
siriani,Syria
slovacchi,Slovakia
sloveni,Slovenia
somali,Somalia
sovietici,the Soviet Union
spagnoli,Spain
statunitensi,the United States
sudafricani,South Africa
sudanesi,Sudan
sudcoreani,South Korea
sudsudanesi,South Sudan
surinamesi,Suriname
svedesi,Sweden
svizzeri,Switzerland
swazilandesi,Swaziland
tagiki,Tajikistan
tahitiani,Tahiti
tanzaniani,Tanzania
tedeschi,Germany
thailandesi,Thailand
togolesi,Togo
tongani,Tonga
trinidadiani,Trinidad and Tobago
tunisini,Tunisia
turchi,Turkey
turkmeni,Turkmenistan
ucraini,Ukraine
ugandesi,Uganda
ungheresi,Hungary
uruguaiani,Uruguay
uzbeki,Uzbekistan
vanuatuani,Vanuatu
venezuelani,Venezuela
zambiani,Zambia
zimbabwesi,Zimbabwe
